Frequency(Hz)	Amplitude
157.0	5.563321061991014282e+00
158.0	9.653861564709867338e+00
159.0	9.446335804729582009e+00
160.0	6.053466843393596974e+00
161.0	3.829967554604149171e+00
162.0	7.663104318301750872e+00
163.0	9.780981679079353341e+00
164.0	3.460994985068786001e+00
165.0	5.949199219263691774e+00
166.0	1.917847366133822451e+00
167.0	4.272972373149491965e+00
168.0	4.009027022480534441e+00
169.0	8.525640634067752188e+00
170.0	9.218734690904833329e+00
171.0	2.253031837423180583e+00
172.0	6.073540972849931663e+00
173.0	2.003716823467260877e-01
174.0	1.078500862696101237e+00
175.0	6.381491072319519731e+00
176.0	2.400225239267872457e-01
177.0	9.895083104970726851e+00
178.0	3.915054358842095183e+00
179.0	7.461942868837915022e+00
180.0	4.057569867187893919e+00
181.0	4.004485770377820053e+00
182.0	9.395329943453367250e+00
183.0	1.473002321693073213e+00
184.0	6.758095154928504655e+00
185.0	5.750318166490011151e+00
186.0	2.570119286451078011e-01
187.0	3.211112387014284586e+00
188.0	2.221019619221183738e+00
189.0	4.872781332628592033e+00
190.0	4.008287054935620652e+00
191.0	7.146141917694402323e+00
192.0	3.331547350222115789e+00
193.0	2.607608896657869213e+00
194.0	7.503032805961274754e+00
195.0	3.879853489637711483e+00
196.0	5.557019098248494160e+00
197.0	9.645934282730436848e+00
198.0	6.638972936324975649e+00
199.0	7.806650298858023973e+00
200.0	6.963529356813278781e+00
201.0	7.932133009843450822e+00
202.0	4.255274067173698604e+00
203.0	6.140996401397948112e+00
204.0	3.771327773601986788e+00
205.0	2.518027540478623649e+00
206.0	8.915633578523452840e+00
207.0	7.015429422281816763e+00
208.0	3.879242445373229931e+00
209.0	9.729688157351368716e+00
210.0	3.610101436680844600e+00
211.0	3.585209282023724686e+00
212.0	3.956601622435049759e+00
213.0	2.472872372713843525e+00
214.0	4.112092397002058419e+00
215.0	2.212258566822391526e+00
216.0	1.432894173387205816e+00
217.0	2.245142283918311055e-01
218.0	7.412947991691352989e+00
219.0	8.873017910873810976e+00
220.0	1.281915753609988995e+00
221.0	1.120356473487382765e-01
222.0	4.297086801572026715e+00
223.0	1.323627349493454730e+00
224.0	7.496553335447338817e+00
225.0	6.135519361060187471e+00
226.0	8.500922702289315680e+00
227.0	7.150198665916546403e+00
228.0	6.854306530175183099e+00
229.0	1.030929321326647941e+00
230.0	4.575034841902107630e+00
231.0	3.045096471130533722e+00
232.0	8.297487260969786504e+00
233.0	8.593950129134626081e+00
234.0	6.497818556293871950e+00
235.0	6.626766999984017303e+00
236.0	5.899419079551787348e+00
237.0	3.269032125405668676e+00
238.0	6.520455337150661279e+00
239.0	2.198468874378487481e+00
240.0	3.459201519347353759e+00
241.0	2.746200851879667670e+00
242.0	2.183779099273353008e-01
243.0	7.154235206085842513e+00
244.0	5.987672008545530389e+00
245.0	6.426250200258511569e+00
246.0	2.420751336741400195e-01
247.0	1.614585230634449919e+00
248.0	2.285984269652031386e+00
249.0	6.167561471312454913e+00
250.0	5.910426940457736755e+00
251.0	3.085818495060330680e+00
252.0	9.674550411852111509e+00
253.0	6.608225494301612990e+00
254.0	5.199730891219023210e-01
255.0	8.730682201376065876e+00
256.0	5.400299092098994613e+00
257.0	7.704535910299766144e+00
258.0	4.139936184663801200e+00
259.0	2.508493488207319544e+00
260.0	1.255092023961670300e+00
261.0	4.708190909053906026e+00
262.0	5.270662597453130260e+00
263.0	2.387101288292896584e+00
264.0	5.567897836213800744e+00
265.0	5.240268907979928059e+00
266.0	6.688231489562664223e+00
267.0	8.390648335065444385e+00
268.0	9.439430330351205711e+00
269.0	2.675541088385118282e+00
270.0	2.990786025847074203e+00
271.0	4.349699453899105173e+00
272.0	8.161045010489786922e-01
273.0	8.394742759263635890e+00
274.0	1.763384668355413298e+00
275.0	3.242513516911922355e+00
276.0	8.146947172883445276e-01
277.0	8.845456786716233921e+00
278.0	3.907034501252999448e+00
279.0	2.907406794226731428e+00
280.0	4.126173839411509725e+00
281.0	9.922759319827076041e+00
282.0	2.354585533406479136e+00
283.0	7.491907884742287749e+00
284.0	7.762629154915878793e+00
285.0	4.134207688230359778e+00
286.0	2.801673509454238875e-01
287.0	3.227345919736235302e+00
288.0	4.169695468073827627e+00
289.0	1.830791173885665257e+00
290.0	5.414082630212190494e+00
291.0	8.285074413100804946e+00
292.0	6.457523913401712612e+00
293.0	3.380793811698382889e+00
294.0	4.682856369167105015e+00
295.0	8.848993656401468400e+00
296.0	2.710454069865094517e+00
297.0	1.428959981883083374e+00
298.0	4.366191763753446864e+00
299.0	1.694362622355944925e+00
300.0	4.609519220387970684e+00
301.0	5.623039443375793311e+00
302.0	7.938342382249858886e+00
303.0	8.067889283950961499e+00
304.0	3.852193817633144945e+00
305.0	7.827833176155985839e+00
306.0	3.333652251884951845e+00
307.0	3.226381041045134346e+00
308.0	5.806922530099360102e+00
309.0	1.618672099396081254e+00
310.0	4.910631428520982666e+00
311.0	3.978617588654682624e+00
312.0	1.995770894837622933e-01
313.0	6.234537965050015451e+00
314.0	1.992496720362770812e+00
315.0	3.708447904139309248e+00
316.0	4.817252629209685111e+00
317.0	7.368809322640670345e+00
318.0	8.682485220433701301e+00
319.0	1.561228799091423092e+00
320.0	7.279449250793864401e+00
321.0	1.414066655324897059e-01
322.0	8.497053098411479155e+00
323.0	5.135979432755796381e+00
324.0	5.180568746365013411e+00
325.0	4.325828208545966724e+00
326.0	8.591093023344628321e+00
327.0	9.054948605915230431e+00
328.0	5.746226513195154872e+00
329.0	3.675002144504091461e+00
330.0	6.466294664894300936e+00
331.0	4.207920912153246817e+00
332.0	5.911911318992584263e+00
333.0	2.241198506162709325e+00
334.0	7.209263756739336060e+00
335.0	4.708434317686264414e+00
336.0	4.098683495677231114e+00
337.0	1.160938675889303662e+00
338.0	9.949438590709263508e+00
339.0	4.009891224849617686e+00
340.0	6.584220850170597217e+00
341.0	8.494962093806403658e+00
342.0	2.676129247896286145e-02
343.0	7.760376096775604360e+00
344.0	7.374666554036946042e-01
345.0	8.409103223413437078e+00
346.0	9.439559348525513371e+00
347.0	1.731684916034749167e+00
348.0	2.475766490654753849e+00
349.0	2.027428391899179783e+00
350.0	9.116536655586982008e+00
351.0	2.419283479247118507e+00
352.0	2.247820778225562144e+00
353.0	5.868221933364569765e+00
354.0	2.620441649689022601e+00
355.0	6.367747833724828332e+00
356.0	2.629544442611110533e+00
357.0	3.404236198365903299e+00
358.0	8.758912405258138634e+00
359.0	2.542856182844093205e+00
360.0	7.285711513048049426e+00
361.0	8.714890256321121242e+00
362.0	8.009951145068697542e+00
363.0	7.793359381338142100e+00
364.0	3.946381560299234703e+00
365.0	3.034391679465792357e+00
366.0	9.436381164237367614e+00
367.0	1.916850037125708006e+00
368.0	9.610592862068726205e+00
369.0	7.645433781094908454e+00
370.0	6.730651794311387270e+00
371.0	7.016138208001509113e+00
372.0	3.836075379400708307e+00
373.0	9.806738089206332276e+00
374.0	2.985852291707241868e+00
375.0	4.746475673542289719e+00
376.0	5.287993511781907685e-01
377.0	1.123151436805031045e+00
378.0	2.125873536556426302e+00
379.0	8.053371492689779032e+00
380.0	4.886202137054809214e+00
381.0	3.433552620043449632e+00
382.0	9.196373780298383593e+00
383.0	1.868886664706419509e+00
384.0	7.183411269335788774e+00
385.0	3.284789946268361405e+00
386.0	6.766329509344658710e+00
387.0	1.151766964460837483e+00
388.0	5.115849994092361186e+00
389.0	3.870897948644898889e+00
390.0	5.654004034241905785e+00
391.0	1.188234128669924949e+00
392.0	2.362336336819584659e+00
393.0	6.333949543083662093e+00
394.0	6.595022250387224894e+00
395.0	1.972281425675836974e+00
396.0	5.393031754979785930e+00
397.0	5.002149324521195872e+00
398.0	6.662777056942501552e+00
399.0	3.045253674251315879e+00
400.0	8.614433343834850376e+00
401.0	6.295816927162452004e+00
402.0	3.636032273033137585e+00
403.0	4.379425031088452158e+00
404.0	7.671928365900254398e+00
405.0	8.575675644259781905e+00
406.0	4.712501856060713479e-01
407.0	1.496136959066183270e+00
408.0	8.042068996688154670e+00
409.0	7.691222885303652390e+00
410.0	1.081649592999860410e+00
411.0	5.839273558618205406e+00
412.0	4.142458943557315365e+00
413.0	5.309590012460998487e+00
414.0	3.005791698558086811e+00
415.0	4.274601084042805255e+00
416.0	4.429825748966872645e+00
417.0	4.810785829203741315e+00
418.0	2.697833068057376771e+00
419.0	3.886316814378365514e+00
420.0	2.116634498362096828e+00
421.0	5.054768067313823110e+00
422.0	3.703802420869100942e+00
423.0	7.565589037188914290e+00
424.0	5.461755884905905134e+00
425.0	6.189760299107836872e+00
426.0	2.425520565650786331e+00
427.0	1.527871375246523389e+00
428.0	6.878106910430958898e-01
429.0	3.544141047247651777e+00
430.0	7.026618289686107133e+00
431.0	2.021921629633194328e+00
432.0	1.502694999139275733e-01
433.0	2.140983701623734525e+00
434.0	7.755236822282501663e+00
435.0	1.387177373216212928e+00
436.0	3.409142856941639543e+00
437.0	2.545805698825116536e+00
438.0	2.985178786506606841e+00
439.0	1.930410914803873945e+00
440.0	1.771736829021575144e+00
441.0	5.135472880032710741e+00
442.0	1.719729505308430495e+00
443.0	2.465776416466748167e+00
444.0	2.324710998655175054e+00
445.0	6.496351736546539968e+00
446.0	7.236444393480383042e+00
447.0	3.699372258054187679e+00
448.0	7.828171586486853073e+00
449.0	3.885283873290007683e+00
450.0	8.714867150517136452e+00
451.0	5.121830156159190572e-01
452.0	1.838934370782516758e+00
453.0	2.340492934501505751e+00
454.0	7.230976032851197388e+00
455.0	4.235779682793484824e+00
456.0	3.349614372335143475e+00
457.0	1.011922786325105683e+00
458.0	4.122226963383321063e+00
459.0	4.985058938516368165e+00
460.0	6.179880955258103548e+00
461.0	8.582378665371610538e+00
462.0	6.967101411024665403e+00
463.0	2.426062781086031350e+00
464.0	6.337397171305148902e+00
465.0	1.132622034325008187e+00
466.0	7.145530236949850789e+00
467.0	7.282965472833325293e+00
468.0	4.454391607247002227e+00
469.0	2.567481009842062178e+00
470.0	3.783384298907310761e-01
471.0	3.000163481029543888e+00
472.0	7.284756019625167056e+00
473.0	8.214188263977938220e+00
474.0	8.962175612944434988e+00
475.0	2.262965868041850737e+00
476.0	9.631107599156085719e-02
477.0	5.583707980800892479e+00
478.0	2.137920404599322755e+00
479.0	9.560550177347561629e+00
480.0	6.975699753510240519e+00
481.0	4.444105898985501568e+00
482.0	9.131653324577085229e+00
483.0	1.416073906983692510e+00
484.0	1.681771327395645832e+00
485.0	7.602541109589999735e-01
486.0	3.332040309622608110e-01
487.0	4.641865350105446097e+00
488.0	8.518425317106197880e+00
489.0	2.996027116148013647e+00
490.0	2.791987236559444696e+00
491.0	7.764134857838401516e+00
492.0	7.464004556444512772e+00
493.0	7.463556194486694828e+00
494.0	4.291804132463330035e+00
495.0	2.114350967127418546e+00
496.0	9.208645616178733562e+00
497.0	1.483665676748180395e-01
498.0	2.211944994636704465e+00
499.0	3.868270590473028570e+00
500.0	8.740512925768076258e+00
