Frequency(Hz)	Amplitude
224.0	4.089203084624838169e+00
225.0	8.399156940470698274e+00
226.0	7.972717358995073944e-02
227.0	2.022808836186714920e+00
228.0	5.575860004549040738e+00
229.0	5.682187455020459854e-01
230.0	7.122880802581970094e+00
231.0	8.730524271355747601e+00
232.0	8.240003515706344928e+00
233.0	5.775483573989825814e-01
234.0	6.415168750775546158e-01
235.0	4.643539828433916661e+00
236.0	5.130167457510081519e+00
237.0	9.957899142325990383e+00
238.0	4.209195814404753655e+00
239.0	5.460722724589972543e-02
240.0	9.418236614260681705e+00
241.0	9.699398644238502953e+00
242.0	4.060606491397925844e+00
243.0	1.534110381220996633e+00
244.0	7.326306450925430980e+00
245.0	6.558877157370086586e+00
246.0	6.289580357244617392e-01
247.0	3.744439980267558532e+00
248.0	7.794154156092485408e+00
249.0	3.568899079539122887e-01
250.0	3.235992484877799669e+00
251.0	8.671361592547190966e+00
252.0	4.593004531636013521e-01
253.0	4.859638620840756040e+00
254.0	7.474928494681579494e+00
255.0	1.596943509734933819e+00
256.0	1.702175398194467615e+00
257.0	5.024462177552991626e+00
258.0	6.654680664953053437e+00
259.0	1.576123847458257288e+00
260.0	4.706260430519421334e+00
261.0	2.238945423800125845e+00
262.0	8.288323434249305066e+00
263.0	4.730114669888795476e+00
264.0	3.996540646393350826e+00
265.0	4.738515654112393172e+00
266.0	7.419872510762349549e+00
267.0	5.398626633357447524e+00
268.0	5.678209363076306637e+00
269.0	4.237713711303067399e+00
270.0	8.417579804616494243e+00
271.0	6.348459849962971191e+00
272.0	1.869033223318915526e+00
273.0	7.953016022254866257e-01
274.0	5.943033329006465415e+00
275.0	7.158084913537300586e+00
276.0	2.311019294535491042e+00
277.0	4.257647886652234703e+00
278.0	2.110765888478018937e+00
279.0	6.008639111532064092e+00
280.0	8.818866040045268306e+00
281.0	8.278325206101943223e+00
282.0	8.623167449140257901e+00
283.0	4.196087748928275296e+00
284.0	9.189124342389794364e+00
285.0	7.160231607343726878e+00
286.0	1.625709083753232864e+00
287.0	3.784254251208236663e+00
288.0	3.134356786534788775e+00
289.0	6.488528925478589393e+00
290.0	9.791633054682074899e+00
291.0	5.142733667274916876e+00
292.0	4.405156945156003090e+00
293.0	6.555550310661911517e+00
294.0	6.882812478409753965e+00
295.0	6.505297728058765827e+00
296.0	4.527125387963049086e-01
297.0	2.710780294172975502e+00
298.0	7.879603785324851284e-01
299.0	1.223734629784264394e+00
300.0	5.749932106358923711e+00
301.0	7.796223522469680756e-01
302.0	7.679876003706976206e+00
303.0	9.024252674050925904e+00
304.0	6.331408375069918826e+00
305.0	6.284384463003860333e+00
306.0	4.441538763626544650e+00
307.0	2.741487257694482871e+00
308.0	9.893089745795158763e+00
309.0	4.702775419974799753e+00
310.0	8.035064571171604442e+00
311.0	4.452500492353705042e+00
312.0	2.287282238158625525e+00
313.0	4.550658541752018671e+00
314.0	9.703159773946172351e+00
315.0	4.029143312201196814e+00
316.0	3.527065248875995707e+00
317.0	6.374183399818061702e+00
318.0	6.181298380068734666e+00
319.0	6.557755379889876224e+00
320.0	1.753378151280899910e+00
321.0	8.809608667915215463e+00
322.0	8.328580617293845023e+00
323.0	9.013176526658471133e+00
324.0	4.781722358663095918e+00
325.0	2.465563486990085540e+00
326.0	8.958515894393240586e+00
327.0	4.110888822397526177e+00
328.0	7.992427980409189114e-01
329.0	5.708987375256100449e+00
330.0	8.374822710111827107e+00
331.0	4.116107298209784382e+00
332.0	8.047080544196797192e+00
333.0	4.116051612601955512e+00
334.0	8.519982647390419217e+00
335.0	9.329203268077554512e+00
336.0	8.521855178893343208e+00
337.0	2.155237264059496560e+00
338.0	4.311420938023358573e+00
339.0	3.957725881706791959e+00
340.0	3.813791163483453150e+00
341.0	1.182485526787746544e+00
342.0	4.114795994155507231e+00
343.0	2.798956974602926362e+00
344.0	3.382602231497033873e-01
345.0	2.144348887693132699e+00
346.0	3.495887996870417069e-01
347.0	9.071346359094146550e+00
348.0	5.259695498292991545e+00
349.0	6.667087090771640412e+00
350.0	9.512850306448045856e+00
351.0	8.342921971776123158e+00
352.0	6.566232994655277544e+00
353.0	5.689090265886761699e+00
354.0	6.182523025128569216e+00
355.0	3.192896410321515166e+00
356.0	5.942315354686700246e+00
357.0	5.301260953670619003e+00
358.0	7.048756759254590776e+00
359.0	7.709124509760235000e+00
360.0	7.427666014213500922e+00
361.0	4.945459656840811569e-01
362.0	7.941378272367086488e+00
363.0	9.254602221781924598e+00
364.0	6.339841823038671720e+00
365.0	2.949258286935102724e+00
366.0	9.479642438819418260e+00
367.0	5.355410742821332448e+00
368.0	1.508275176210449597e+00
369.0	7.816850791898364292e+00
370.0	8.633230527692512979e+00
371.0	3.787417139726942938e+00
372.0	1.210939701374997846e+00
373.0	3.446131923388997542e+00
374.0	6.356848109425285109e+00
375.0	2.401561185377658614e+00
376.0	8.730276317687428289e+00
377.0	8.012394802717309972e+00
378.0	1.799676429192851312e+00
379.0	4.609409904046537498e+00
380.0	1.479862616331187875e+00
381.0	9.653467516279288674e+00
382.0	4.482799509284078887e+00
383.0	7.057148707380056507e-02
384.0	7.496711989073419069e+00
385.0	2.575093795988421252e+00
386.0	6.363475660522840194e+00
387.0	2.952388964992411768e+00
388.0	2.914653365921713313e+00
389.0	1.967770566397061272e+00
390.0	3.313322391892328245e+00
391.0	4.798898417406965322e+00
392.0	1.203824484039157650e+00
393.0	7.941676006763980666e+00
394.0	7.545427708271263967e+00
395.0	1.871790651671420003e+00
396.0	5.739333031843997013e+00
397.0	6.307068865995980822e+00
398.0	7.419256336261871532e+00
399.0	8.971898198141438741e+00
400.0	5.724367660733004293e+00
401.0	8.462294456453086866e+00
402.0	1.124847972431390897e+00
403.0	3.342477853876534510e+00
404.0	2.430630671753851502e+00
405.0	3.202743335612993292e+00
406.0	2.823308551547135892e+00
407.0	5.101632627544574916e+00
408.0	8.280032201290945082e+00
409.0	8.853963192255731585e-02
410.0	4.880214347392314522e+00
411.0	5.552608168352662688e+00
412.0	5.271377615915562309e-01
413.0	9.125299089421673671e+00
414.0	2.464356957331502507e+00
415.0	2.981374078025558205e+00
416.0	2.478941361672380772e+00
417.0	2.104608257059320309e+00
418.0	1.161695484876849038e+00
419.0	4.174228578587135807e+00
420.0	4.012622633101986303e+00
421.0	3.095153705250632825e+00
422.0	1.297355199806129455e+00
423.0	9.700815898463666542e+00
424.0	7.836575201876205821e-01
425.0	6.303210791262149115e+00
426.0	4.044272408843005095e+00
427.0	5.235790074687870721e+00
428.0	7.188426165632372467e+00
429.0	3.748318316266131767e+00
430.0	8.589126544292744470e+00
431.0	8.227847026994409063e+00
432.0	7.171648374751926625e-02
433.0	9.521556297057109930e+00
434.0	3.375161671280690889e-01
435.0	8.121326683805889957e+00
436.0	5.438914240908263587e+00
437.0	8.366472673959957085e-01
438.0	8.975000225792806319e-01
439.0	2.589414868903028299e+00
440.0	6.748746816149397532e+00
441.0	2.213737523481447145e+00
442.0	3.797619125369287030e+00
443.0	1.176502177158422757e+00
444.0	1.981676046406932734e+00
445.0	1.570899054920371629e+00
446.0	4.622879047704443245e+00
447.0	7.467831503849669872e+00
448.0	8.598268623510476161e+00
449.0	4.159428365328729171e+00
450.0	1.605178140786867047e+00
451.0	1.425845042647964078e+00
452.0	7.209649324504009194e+00
453.0	4.291753961701281206e+00
454.0	6.006483261619766090e-01
455.0	7.768439707650799164e+00
456.0	6.959074552901450161e+00
457.0	3.190311594160899489e+00
458.0	4.089149466345815220e+00
459.0	4.456202882673087728e+00
460.0	8.527589016362266960e+00
461.0	6.482043061379093807e+00
462.0	6.869662383662343608e+00
463.0	6.770258160843916961e+00
464.0	3.947416121588283033e+00
465.0	3.481933158826862051e+00
466.0	6.794085419438490092e+00
467.0	7.410096639106611427e-01
468.0	9.844651448147468287e+00
469.0	6.944209296792601904e+00
470.0	9.443707293508452949e+00
471.0	8.184185220652155479e+00
472.0	6.937918521380689540e+00
473.0	8.911944189036324904e-01
474.0	2.459277366833148015e+00
475.0	9.096939725995396131e+00
476.0	6.874335274474775659e+00
477.0	9.631941175983671499e-01
478.0	5.200457815260643102e+00
479.0	4.102083044486738217e+00
480.0	9.817974961546815038e+00
481.0	8.772628767902352465e+00
482.0	7.731964073217723055e+00
483.0	9.890720832587340805e-01
484.0	6.867475074221048637e+00
485.0	1.614531774867575820e+00
486.0	9.306280466888336989e+00
487.0	1.733385870993299216e+00
488.0	1.375648884394897742e-02
489.0	4.837205833871090377e+00
490.0	5.848677557751734923e+00
491.0	5.428583827196843181e+00
492.0	5.712639712977765072e+00
493.0	7.801375312421361841e+00
494.0	4.382677282834110954e+00
495.0	3.825234515435063098e+00
496.0	3.344968561869800183e+00
497.0	4.893363697993252437e+00
498.0	8.506342867321897927e+00
499.0	1.265431606109200802e+00
500.0	9.866729005546259756e-01
